archiveType,colour,date,heading,lead,photoUrl,photoUrlCropType,role,type,url,year
audio,#AD81A2,2023-01-28T00:00:00Z,UUDISED. Anna Hints võitis Sundance'i filmifestivalil parima režissööri auhinna,"Maailma ühel olulisemal filmifestivalil pälvis režissöör Anna Hints dokumentaalfilmide võistlusprogrammis parima režissööri preemia. See on esimene kord, kui Eesti film Sundance'il nii suure auhinna saab.
Anna Hints; reporter Kadri Põlendik",NA,file,content,audio,uudised-anna-hints-voitis-sundance-i-filmifestivalil-parima-rezissoori-auhinna,2023
audio,#FF9F7C,2023-01-27T00:00:00Z,UUDISED. Välismaa kõrge huvi Eesti vastu ei ole vaibunud,"Mullu veebruaris pälvis Eesti jõulise kommunikatsiooniga palju tähelepanu välismaal. Riigi sõnumite vahendajad ütlevad, et huvi ei ole aastaga vaibunud. Üha enam küsitakse Venemaa ohu iseloomustamiseks nõu ka Eesti kaitseväelastelt.
Riigikantselei meedianõunik Helen Rits; Kaitseväe peastaabi pressiohvitser kapten Taavi Laasik; Välisministeeriumi avalike suhete peadirektor Mihkel Tamm; reporter Joakim Klementi",NA,file,content,audio,uudised-valismaa-korge-huvi-eesti-vastu-ei-ole-vaibunud,2023
audio,#FF9F7C,2023-01-27T00:00:00Z,UUDISED. Valitsus vahetab ERM-i kõrval oleva kinnistu riigimaa vastu,"Valitsus kiitis eile heaks keskkonnaministri ettepaneku vahetada üks riigi omandis olev kinnistu Eesti Rahva Muuseumi (ERM) vahetus läheduses asuva kinnistu vastu. Seega ei kerki Erminurme tee 28 kinnistule kortermaja.
Kultuuriminister Piret Hartman; Tartu vallavanem Jarno Laur; Eesti Rahva Muuseumi direktor Kertu Saks; reporter Jane Saluorg",NA,file,content,audio,uudised-valitsus-vahetab-erm-i-korval-oleva-kinnistu-riigimaa-vastu,2023
audio,#AD81A2,2023-01-27T00:00:00Z,UUDISED. USA tehnoloogiaettevõtetest kaob tuhandeid töökohti,"Viimaste nädalate suurkoondamised USA tehnoloogiaettevõtetes on tekitanud ärevust sealse tööturu olukorra pärast. Eksperdid aga kinnitavad, et üleriigiliselt on töötuse määr endiselt madal ja tehnoloogiasektoris toimub lihtsalt vajalik ümberstruktureerimine.
Reporter Maria-Ann Rohemäe; tehnoloogiasektori töötaja Hemant Rawat; värbaja Ellen Anderson; California tööhõive arendamise ameti endine juht Michael Bernick",NA,file,content,audio,uudised-usa-tehnoloogiaettevotetest-kaob-tuhandeid-tookohti,2023
audio,#669DED,2023-01-27T00:00:00Z,UUDISED. Tahkuranna laste koolitee hakkab minema läbi tunneli,"Tahkuranna lapsed saavad paari kuu pärast kodu ja kooli vahet liikuda Tallinna-Pärnu-Ikla maantee alust tunnelit kasutades.
Transpordiameti Lääne üksuse juht Hannes Vaidla; Häädemeeste vallavanem Külliki Kiiver; reporter Ester Vilgats",NA,file,content,audio,uudised-tahkuranna-laste-koolitee-hakkab-minema-labi-tunneli,2023
audio,#FC7E8A,2023-01-27T00:00:00Z,UUDISED. Pankrotis Repo Vabrikute vara läheb uue hinnaga taas müüki,"Läinud aastal töö lõpetanud puitlaastplaatide tootja Repo Vabrikud esimese pankrotioksjoni vastu tunti küll huvi, kuid müügihinda peeti liiga kõrgeks. Ettevõtte varad hinnati ümber ja pankrotihaldur loodab, et uue hinnaga leitakse ostja, kes paneb tehases töö taas käima.
Repo Vabrikute pankrotihaldur Andres Hermet; Töötukassa Ida-Virumaa osakonna juhataja Anneki Teelahk; reporter Rene Kundla",NA,file,content,audio,uudised-pankrotis-repo-vabrikute-vara-laheb-uue-hinnaga-taas-muuki,2023
audio,#1BABA1,2023-01-27T00:00:00Z,UUDISED. Narvas ootab muutmist veel mitu tänavanime,"Narva linnavolikogu pani eile uued nimed Daumani ja Tiimanni tänavale. Otsuse poolt hääletas kaheksateist linnavolikogu liiget kolmekümnest.
Narva volikogu esimees Vladimir Žavoronkov; Narva linnapea Katri Raik; reporter Jüri Nikolajev",NA,file,content,audio,uudised-narvas-ootab-muutmist-veel-mitu-tanavanime,2023
audio,#FF9F7C,2023-01-27T00:00:00Z,UUDISED. Kolm aastat apteegireformist – kas õnnestumine või mitte?,"1. aprillil saab kolm aastat ajast, kui jõustus apteegireform, mille eesmärk oli muuta apteegid sõltumatuks hulgimüüjatest. Kolmele aastale tagasi vaadates leidub aga kahesuguseid arvamusi selle kohta, kas reform siis õnnestus või mitte.
Eesti Apteekrite Liidu peaproviisor Kaidi Sarv; Konkurentsiameti järelevalveosakonna juhataja Juhan Põldroos; Sotsiaalministeeriumi ravimiosakonna nõunik Laura Viidik; Ravimiameti järelevalveosakonna juhataja Liis Prii; reporter Jane Saluorg",NA,file,content,audio,uudised-kolm-aastat-apteegireformist-kas-onnestumine-voi-mitte,2023
audio,#669DED,2023-01-27T00:00:00Z,UUDISED. Huvi riigikaitse vastu on kasvanud ka noorte seas,"Kaitseliidu noorteorganisatsioonidel on praegu umbes 8000 liiget. Eelmisel aastal kasvas nende liikmeskond 230 võrra.
Kodutütarde juht Ave Proos; noorkotkas Joosua Soomets; kodutütar Brigit Sepp; reporter Maria Kruusement",NA,file,content,audio,uudised-huvi-riigikaitse-vastu-on-kasvanud-ka-noorte-seas,2023
audio,#AD81A2,2023-01-27T00:00:00Z,UUDISED. Grosberg: Venemaa suudab täppismoona juurde toota,"Vene väed on ka sel nädalal teinud suuri raketirünnakuid Ukraina linnadele ja energiataristule. Kaitseväe luurekeskuse ülem kolonel Margo Grosberg ütles Kaitseministeeriumis toimunud pressikonverentsil, et pessimistlikuma hinnangu järgi võivad sellised rünnakud kesta veel kuni üheksa kuud, kuna Venemaa on suuteline täppismoona juurde tootma.
Margo Grosberg; reporter Uku Toom",NA,file,content,audio,uudised-grosberg-venemaa-suudab-tappismoona-juurde-toota,2023
audio,#FF9F7C,2023-01-27T00:00:00Z,UUDISED. Express Post lõpetab ajakirjandusväljaannete kojukande,"Eesti suuremates linnades ja nende lähiümbruses Ekspress Grupi ja Postimees Grupi väljaandeid postkastidesse viinud Express Post lõpetab selle aasta jooksul kojukandeteenuse. Muutuse tulemusena kaotab töö umbes 450 inimest. Express Posti käive oli mullu 5,2 miljonit ning kahjum 1,2 miljonit eurot.
Express Posti tegevjuht Katri Laanela; Ekspress Grupi juhatuse esimees Mari-Liis Rüütsalu; Eesti Posti juhatuse esimees Mart Mägi; reporter Uku Toom",NA,file,content,audio,uudised-express-post-lopetab-ajakirjandusvaljaannete-kojukande,2023
audio,#FC7E8A,2023-01-27T00:00:00Z,UUDISED. Eesti tahab vältida Euroopa ühisturu killustumist,"Eesti teatas Euroopa Komisjonile, et riigiabi reeglite lõdvendamisega ei tohi kahjustada Euroopa ühisturgu.
Rahandusministeeriumi halduspoliitika asekantsler Kaur Kajak; reporter Madis Hindre",NA,file,content,audio,uudised-eesti-tahab-valtida-euroopa-uhisturu-killustumist,2023
audio,#AD81A2,2023-01-26T00:00:00Z,UUDISED. Valitsus kutsub õppekogunemisele Okas 830 kaitseliitlast,"Valitsus kuulutas täna välja lisaõppekogunemise Okas, kuhu kutsutakse 830 Lääne maakaitseringkonda kuuluvat kaitseliitlast. Lisaõppekogunemine on harjutava iseloomuga ja vahetu julgeolekuoht Eestile puudub.
Õppusel osalejad Andres Hall ja Oliver Sams; Kaitseliidu Pärnumaa maleva pealik kolonelleitnant Tõnu Miil; reporter Ester Vilgats",NA,file,content,audio,uudised-valitsus-kutsub-oppekogunemisele-okas-830-kaitseliitlast,2023
audio,#1BABA1,2023-01-26T00:00:00Z,UUDISED. Vaidlus koalitsioonis seiskas riigifirmade nimetamiskomitee töö,"Nimetamiskomitee senine koosseis lõpetas tänasega tegevuse. Komitee uued liikmed, kes peaks tööd alustama homsest, pole veel kinnitatatud ega ka mitte avalikud.
Rahandusminister Annely Akkermann; Isamaa esimees Helir-Valdor Seeder; reporter Margitta Otsmaa",NA,file,content,audio,uudised-vaidlus-koalitsioonis-seiskas-riigifirmade-nimetamiskomitee-too,2023
audio,#669DED,2023-01-26T00:00:00Z,UUDISED. Universaalteenuse reformimise plaan jäi toppama,"Ettevõtlus- ja infotehnoloogiaminister Kristjan Järvan soovib viia elektri universaalteenuse reformi valitsusse ja Riigikokku veel enne valimisi, eesmärgiga see enne uut koosseisu veelgi paremaks teha. Teema oli üleval ka täna valitsuse pressikonverentsil.
Kristjan Järvan; peaminister Kaja Kallas; majandus- ja taristuminister Riina Sikkut; reporter Margitta Otsmaa",NA,file,content,audio,uudised-universaalteenuse-reformimise-plaan-jai-toppama,2023
audio,#AD81A2,2023-01-26T00:00:00Z,UUDISED. Universaalteenuse kasutajad võiksid tarbida ka soodsat börsihinnaga elektrit,"Ettevõtlus- ja infotehnoloogiaminister Kristjan Järvan teeb valitsusele ettepaneku saata Riigikokku eelnõu, mis lubaks universaalteenuse kasutajatel tarbida ka börsihinnaga elektrit tundidel kui börsihind on universaalteenusest odavam.
Kristjan Järvan; reporter Indrek Kiisler",NA,file,content,audio,uudised-universaalteenuse-kasutajad-voiksid-tarbida-ka-soodsat-borsihinnaga-elektrit,2023
audio,#669DED,2023-01-26T00:00:00Z,UUDISED. Põlevkivituha kasutamine suureneb,"Peamiselt ehitusmaterjalide tootmises ja põllumajanduses rakendust leidva põlevkivituha kasutamine suureneb. Eesti Energia tütarettevõte Enefit Power rohkem kui kahekordistas eelmisel aastal põlevkivituha müüki ja see ületas 100 000 tonni piiri.
Enefit Poweri juhatuse esimees Andres Vainola; Maaelu Teadmuskeskuse mullaseire ja uuringute büroo juhataja Priit Penu; reporter Rene Kundla",NA,file,content,audio,uudised-polevkivituha-kasutamine-suureneb,2023
audio,#1BABA1,2023-01-26T00:00:00Z,UUDISED. Muutlik ilm on suurte maanteede teekattele mõjunud väga halvasti,"Talvine temperatuuri kõikumine on mõjunud teekatetele väga halvasti. Juba on suurematele maanteedele tekkinud löökauke ja pragusid. Teede rahastuse vähenemine tähendab, et hullemad ajad on alles ees, ütlevad eksperdid.
Transpordiameti taristu ehitamise ja korrashoiu osakonna juhataja Andres Piibeleht; teedeehitaja Verston juhatuse esimees Veiko Veskimäe; teedeinsener Ain Kendra; reporter Kadri Põlendik",NA,file,content,audio,uudised-muutlik-ilm-on-suurte-maanteede-teekattele-mojunud-vaga-halvasti,2023
audio,#AFA2EA,2023-01-26T00:00:00Z,UUDISED. Jää tõrjumine Pärnu lahel läheb plaanipäraselt,"Detsembri keskpaigas alustas Pärnu ja Liivi lahel raskete jääolude tõttu tööd Transpordiameti mitmeotstarbeline laev EVA 316, sest laevad vajasid abi.
EVA 316 kapten Armin Sirelpuu; reporter Ester Vilgats",NA,file,content,audio,uudised-jaa-torjumine-parnu-lahel-laheb-plaaniparaselt,2023
audio,#1BABA1,2023-01-26T00:00:00Z,UUDISED. Joakim Klementi. Väliskommentaar,"Kuulivestid Jaapanist, miinipildujad Iraanist, suurtükimürsud Pakistanist ning tankid Marokost. Ukrainale saabub relvastust ja varustust mujaltki kui vaid NATO või Euroopa Liidu riikide varudest. Lähemalt räägib Joakim Klementi",NA,file,content,audio,uudised-joakim-klementi-valiskommentaar-406119,2023
audio,#AFA2EA,2023-01-26T00:00:00Z,UUDISED. Ilmus järjekordne tänapäeva laste jubejuttude kogumik,"Ajakirja Täheke eestvedamisel on kaante vahele saanud järjekordne tänapäeva laste jubejuttude kogumik. Kogumiku koostas Tähekese peatoimetaja Ilona Martson, pildid joonistasid Märt Rudolf Pärn ja Olga Pärn.
Ilona Martson; reporter Reene Leas",NA,file,content,audio,uudised-ilmus-jarjekordne-tanapaeva-laste-jubejuttude-kogumik,2023
audio,#AD81A2,2023-01-26T00:00:00Z,UUDISED. Haapsalu kolledžis avatakse sel sügisel pärast kümneaastast pausi taas magistriõpe,"Haapsalu kolledžis avatakse sel sügisel pärast kümneaastast pausi taas magistriõpe. Magistrikraadi saab omandama hakata uuel õppekaval, kus koolitatakse spetsialiste, kelle ülesanne on kaasata vanemaealisi paremini ühiskonda.
Tallinna Ülikooli Haapsalu kolledži direktor Heli Kaldas; reporter Juhan Hepner",NA,file,content,audio,uudised-haapsalu-kolledzis-avatakse-sel-sugisel-parast-kumneaastast-pausi-taas-magistriope,2023
